SELECT * FROM `permisos`;


id_permiso	permiso	etiqueta	descripcion	kid_tabla	kid_creacion	fecha_creacion	kid_estatus	
207	ver_tipos_comentarios	Ver Tipos Comentarios	Permiso para Ver Tipos Comentarios	52	1	2025-03-14 13:16:28	1	
208	eliminar_tipos_comentarios	Eliminar Tipos Comentarios	Permiso para Eliminar Tipos Comentarios	52	1	2025-03-14 13:16:28	1	
209	crear_tipos_costo	Crear Tipos Costo	Permiso para Crear Tipos Costo	53	1	2025-03-14 13:16:28	1	
210	editar_tipos_costo	Editar Tipos Costo	Permiso para Editar Tipos Costo	53	1	2025-03-14 13:16:28	1	
211	ver_tipos_costo	Ver Tipos Costo	Permiso para Ver Tipos Costo	53	1	2025-03-14 13:16:28	1	
212	eliminar_tipos_costo	Eliminar Tipos Costo	Permiso para Eliminar Tipos Costo	53	1	2025-03-14 13:16:28	1	
213	crear_tipos_cuentas_bancarias	Crear Tipos Cuentas Bancarias	Permiso para Crear Tipos Cuentas Bancarias	54	1	2025-03-14 13:16:28	1	
214	editar_tipos_cuentas_bancarias	Editar Tipos Cuentas Bancarias	Permiso para Editar Tipos Cuentas Bancarias	54	1	2025-03-14 13:16:28	1	
215	ver_tipos_cuentas_bancarias	Ver Tipos Cuentas Bancarias	Permiso para Ver Tipos Cuentas Bancarias	54	1	2025-03-14 13:16:28	1	
216	eliminar_tipos_cuentas_bancarias	Eliminar Tipos Cuentas Bancarias	Permiso para Eliminar Tipos Cuentas Bancarias	54	1	2025-03-14 13:16:28	1	
217	crear_tipos_precio_venta	Crear Tipos Precio Venta	Permiso para Crear Tipos Precio Venta	55	1	2025-03-14 13:16:28	1	
